customer_id,alert_type,alert_date,resolution_status
41,Password Reset,2024-10-31 10:11:39.037889,Pending
46,Failed Login,2024-10-22 10:11:39.037889,Resolved
56,2FA Triggered,2024-10-25 10:11:39.037889,Pending
2,2FA Triggered,2024-11-03 10:11:39.037889,Resolved
50,2FA Triggered,2024-09-27 10:11:39.037889,Pending
47,Failed Login,2024-10-03 10:11:39.037889,Pending
65,2FA Triggered,2024-10-01 10:11:39.037889,Pending
100,2FA Triggered,2024-09-18 10:11:39.037889,Pending
15,Failed Login,2024-09-23 10:11:39.037889,Pending
40,Password Reset,2024-09-09 10:11:39.037889,Pending
12,2FA Triggered,2024-10-20 10:11:39.037889,Resolved
10,Suspicious IP,2024-09-26 10:11:39.037889,Pending
45,2FA Triggered,2024-09-30 10:11:39.037889,Resolved
54,2FA Triggered,2024-10-27 10:11:39.037889,Pending
47,2FA Triggered,2024-10-22 10:11:39.037889,Resolved
63,Password Reset,2024-10-06 10:11:39.037889,Resolved
7,2FA Triggered,2024-10-10 10:11:39.037889,Resolved
5,Password Reset,2024-10-25 10:11:39.037889,Pending
73,Suspicious IP,2024-10-12 10:11:39.037889,Resolved
24,Password Reset,2024-11-03 10:11:39.037889,Pending
21,Failed Login,2024-09-16 10:11:39.037889,Pending
41,Failed Login,2024-10-22 10:11:39.037889,Resolved
20,Password Reset,2024-10-11 10:11:39.037889,Pending
71,Failed Login,2024-09-11 10:11:39.037889,Pending
78,Password Reset,2024-11-03 10:11:39.037889,Resolved
87,2FA Triggered,2024-10-23 10:11:39.037889,Pending
96,2FA Triggered,2024-10-27 10:11:39.037889,Resolved
97,Suspicious IP,2024-09-24 10:11:39.037889,Resolved
80,Suspicious IP,2024-09-20 10:11:39.037889,Pending
41,Failed Login,2024-11-01 10:11:39.037889,Pending
99,Suspicious IP,2024-09-06 10:11:39.037889,Pending
36,Password Reset,2024-09-09 10:11:39.037889,Pending
81,Failed Login,2024-09-29 10:11:39.037889,Pending
